Name,Lat,Lon,Url
DZA_DJ_Djelfa.605350_TMYx.2003-2017.zip,34.683,3.25,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/DJ_Djelfa/DZA_DJ_Djelfa.605350_TMYx.2003-2017.zip
CAN_AB_Stavely.AAFC.715550_CWEC2016.zip,50.183,113.883,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Stavely.AAFC.715550_CWEC2016.zip
DZA_DJ_Djelfa.605350_TMYx.zip,34.683,3.25,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/DJ_Djelfa/DZA_DJ_Djelfa.605350_TMYx.zip
CAN_AB_Champion.AgDM.712170_CWEC2016.zip,50.282,113.35,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Champion.AgDM.712170_CWEC2016.zip
DZA_EB_Bayadh.605500_TMYx.2003-2017.zip,33.667,1,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/EB_El_Bayadh/DZA_EB_Bayadh.605500_TMYx.2003-2017.zip
CAN_AB_Lethbridge.AP.712430_CWEC.zip,49.63,112.8,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lethbridge.AP.712430_CWEC.zip
DZA_EB_Kheiter.605400_TMYx.2003-2017.zip,34.15,0.067,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/EB_El_Bayadh/DZA_EB_Kheiter.605400_TMYx.2003-2017.zip
CAN_AB_Stettler.AgDM.712890_CWEC2016.zip,52.347,112.596,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Stettler.AgDM.712890_CWEC2016.zip
DZA_EB_Kheiter.605400_TMYx.zip,34.15,0.067,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/EB_El_Bayadh/DZA_EB_Kheiter.605400_TMYx.zip
CAN_AB_Claresholm.712340_CWEC2016.zip,50.004,113.639,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Claresholm.712340_CWEC2016.zip
DZA_EB_Bayadh.605500_TMYx.zip,33.667,1,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/EB_El_Bayadh/DZA_EB_Bayadh.605500_TMYx.zip
CAN_AB_Lethbridge.AP.712430_CWEC2016.zip,49.695,112.768,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lethbridge.AP.712430_CWEC2016.zip
DZA_EO_Guemar.AP.605590_TMYx.2003-2017.zip,33.511,6.777,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/EO_El_Oued/DZA_EO_Guemar.AP.605590_TMYx.2003-2017.zip
CAN_AB_Strathmore.AgDM.715260_CWEC2016.zip,51.033,113.283,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Strathmore.AgDM.715260_CWEC2016.zip
DZA_EO_Guemar.AP.605590_TMYx.zip,33.511,6.777,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/EO_El_Oued/DZA_EO_Guemar.AP.605590_TMYx.zip
CAN_AB_Cleardale.AgDM.712210_3074935_CWEC2016.zip,56.314,119.745,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Cleardale.AgDM.712210_3074935_CWEC2016.zip
DZA_ET_Kala.603670_TMYx.2003-2017.zip,36.9,8.45,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/ET_El_Tarf/DZA_ET_Kala.603670_TMYx.2003-2017.zip
CAN_AB_Lethbridge.Demo.Farm.AgDM.715090_CWEC2016.zip,49.683,112.75,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Lethbridge.Demo.Farm.AgDM.715090_CWEC2016.zip
DZA_ET_Kala.603670_TMYx.zip,36.9,8.45,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/ET_El_Tarf/DZA_ET_Kala.603670_TMYx.zip
CAN_AB_Sundre.AP.712480_CWEC2016.zip,51.778,114.683,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Sundre.AP.712480_CWEC2016.zip
DZA_GL_Guelma.604030_TMYx.2003-2017.zip,36.467,7.467,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/GL_Guelma/DZA_GL_Guelma.604030_TMYx.2003-2017.zip
